"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-natureza",2013,46," A pílula anticoncepcional é um dos métodos contraceptivos de maior segurança, sendo constituída basicamente de dois hormônios sintéticos semelhantes aos hormônios produzidos pelo organismo feminino, o estrogênio (E) e a progesterona (P). Em um experimento médico, foi analisado o sangue de uma mulher que ingeriu ininterruptamente um comprimido desse medicamento por dia durante seis meses. "," Qual gráfico representa a concentração sanguínea desses hormônios durante o período do experimento? ","enem-data/enem-2013/46-images/alt_img_0.png","enem-data/enem-2013/46-images/alt_img_1.png","enem-data/enem-2013/46-images/alt_img_2.png","enem-data/enem-2013/46-images/alt_img_3.png","enem-data/enem-2013/46-images/alt_img_4.png","A",""
"ciencias-natureza",2013,47," A imagem representa uma ilustração retirada do livro De Motu Cordis, de autoria do médico inglês Willian Harvey, que fez importantes contribuições para o entendimento do processo de circulação do sangue no corpo humano. No experimento ilustrado, Harvey, após aplicar um torniquete (A) no braço de um voluntário e esperar alguns vasos incharem, pressionava-os em um ponto (H). Mantendo o ponto pressionado, deslocava o conteúdo de sangue em direção ao cotovelo, percebendo que um trecho do vaso sanguíneo permanecia vazio após esse processo (H-O). "," A demonstração de Harvey permite estabelecer a relação entre circulação sanguínea e ","pressão arterial.","válvulas venosas.","circulação linfática.","contração cardíaca.","transporte de gases.","B","enem-data/enem-2013/47-images/context_img_0.png"
"ciencias-natureza",2013,48," Para realizar um experimento com uma garrafa PET cheia d´água, perfurou-se a lateral da garrafa em três posições a diferentes alturas. Com a garrafa tampada, a água não vazou por nenhum dos orifícios, e, com a garrafa destampada, observou-se o escoamento da água conforme ilustrado na figura."," Como a pressão atmosférica interfere no escoamento da água, nas situações com a garrafa tampada e destampada, respectivamente? ","Impede a saída de água, por ser maior que a pressão interna; não muda a velocidade de escoamento, que só depende da pressão da coluna de água.","Impede a saída de água, por ser maior que a pressão interna; altera a velocidade de escoamento, que é proporcional à pressão atmosférica na altura do furo.","Impede a entrada de ar, por ser menor que a pressão interna; altera a velocidade de escoamento, que é proporcional à pressão atmosférica na altura do furo.","Impede a saída de água, por ser maior que a pressão interna; regula a velocidade de escoamento, que só depende da pressão atmosférica.","Impede a entrada de ar, por ser menor que a pressão interna; não muda a velocidade de escoamento, que só depende da pressão da coluna de água.","A","enem-data/enem-2013/48-images/context_img_0.png"
"ciencias-natureza",2013,49," O citral, substância de odor fortemente cítrico, é obtido a partir de algumas plantas como o capim-limão, cujo óleo essencial possui aproximadamente 80%, em massa, da substância. Uma de suas aplicações é na fabricação de produtos que atraem abelhas, especialmente do gênero Apis, pois seu cheiro é semelhante a um dos feromônios liberados por elas. Sua fórmula molecular é C10H16O, com uma cadeia alifática de oito carbonos, duas insaturações, nos carbonos 2 e 6; e dois grupos substituintes metila, nos carbonos 3 e 7. O citral possui dois isômeros geométricos, sendo o trans o que mais contribui para o forte odor. "," Para que se consiga atrair um maior número de abelhas para uma determinada região, a molécula que deve estar presente em alta concentração no produto a ser utilizado é: ","enem-data/enem-2013/49-images/alt_img_0.png","enem-data/enem-2013/49-images/alt_img_1.png","enem-data/enem-2013/49-images/alt_img_2.png","enem-data/enem-2013/49-images/alt_img_3.png","enem-data/enem-2013/49-images/alt_img_4.png","A",""
"ciencias-natureza",2013,50," A estratégia de obtenção de plantas transgênicas pela inserção de transgenes em cloroplastos, em substituição à metodologia clássica de inserção do transgene no núcleo da célula hospedeira, resultou no aumento quantitativo da produção de proteínas recombinantes com diversas finalidades biotecnológicas. O mesmo tipo de estratégia poderia ser utilizada para produzir proteínas recombinantes em células de organismos eucarióticos não fotossintetizantes, como as leveduras, que são usadas para produção comercial de várias proteínas recombinantes e que podem ser cultivadas em grandes fermentadores. "," Considerando a estratégia metodológica descrita, qual organela celular poderia ser utilizada para inserção de transgenes em leveduras? ","Lisossomo.","Mitocôndria.","Peroxissomo.","Complexo golgiense.","Retículo endoplasmático.","B",""
"ciencias-natureza",2013,51," No Brasil, cerca de 80% da energia elétrica advém de hidrelétricas, cuja construção implica o represamento de rios. A formação de um reservatório para esse fim, por sua vez, pode modificar a ictiofauna local. Um exemplo é o represamento do Rio Paraná, onde se observou o desaparecimento de peixes cascudos quase que simultaneamente ao aumento do número de peixes de espécies exóticas introduzidas, como o mapará e a corvina, as três espécies com nichos ecológicos semelhantes. PETESSE, M. L.; PETRERE JR., M. Ciência Hoje, São Paulo, n. 293, v. 49, jun. 2012 (adaptado). "," Nessa modificação da ictiofauna, o desaparecimento de cascudos é explicado pelo(a) ","redução do fluxo gênico da espécie nativa.","diminuição da competição intraespecífica.","aumento da competição interespecífica.","isolamento geográfico dos peixes.","extinção de nichos ecológicos.","C",""
"ciencias-natureza",2013,52," Uma das etapas do tratamento da água é a desinfecção, sendo a cloração o método mais empregado. Esse método consiste na dissolução do gás cloro numa solução sob pressão e sua aplicação na água a ser desinfectada. As equações das reações químicas envolvidas são: Cl2(g) + 2 H2O (l) ⇌ HClO (aq) + H3O+ (aq) + Cl− (aq) HClO (aq) + H2O (l) ⇌  H3O+(aq) + ClO−(aq)      pKa= − log Ka= 7,53 A ação desinfetante é controlada pelo ácido hipocloroso, que possui um potencial de desinfecção cerca de 80 vezes superior ao ânion hipoclorito. O pH do meio é importante, porque influencia na extensão com que o ácido hipocloroso se ioniza. "," Para que a desinfecção seja mais efetiva, o pH da água a ser tratada deve estar mais próximo de ","5","7","9","14","","B",""
"ciencias-natureza",2013,53,"Uma manifestação comum das torcidas em estádios de futebol é a ola mexicana. Os espectadores de uma linha, sem sair do lugar e sem se deslocarem lateralmente, ficam de pé e se sentam, sincronizados com os da linha adjacente. O efeito coletivo se propaga pelos espectadores do estádio, formando uma onda progressiva, conforme ilustração. Calcula-se que a velocidade de propagação dessa “onda humana” é 45 km/h, e que cada período de oscilação contém 16 pessoas, que se levantam e sentam organizadamente e distanciadas entre si por 80 cm. Disponível em: www.ufsm.br. Acesso em: 7 dez. 2012 (adaptado). "," Nessa ola mexicana, a frequência da onda, em hertz, é um valor mais próximo de ","0,3.","0,5.","1,0.","1,9.","3,7.","C","enem-data/enem-2013/53-images/context_img_0.png"
"ciencias-natureza",2013,54," Química Verde pode ser definida como a criação, o desenvolvimento e a aplicação de produtos e processos químicos para reduzir ou eliminar o uso e a geração de substâncias nocivas à saúde humana e ao ambiente. Sabe-se que algumas fontes energéticas desenvolvidas pelo homem exercem, ou têm potencial para exercer, em algum nível, impactos ambientais negativos. CORRÊA, A. G.; ZUIN, V. G. (Orgs.). Química Verde: fundamentos e aplicações. São Carlos: EdUFSCar, 2009. "," À luz da Química Verde, métodos devem ser desenvolvidos para eliminar ou reduzir a poluição do ar causada especialmente pelas ","hidrelétricas.","termelétricas.","usinas geotérmicas.","fontes de energia solar.","fontes de energia eólica.","B",""
"ciencias-natureza",2013,55," Em viagens de avião, é solicitado aos passageiros o desligamento de todos o aparelhos cujo funcionamento envolva a emissão ou a recepção de ondas eletromagnéticas. O procedimento é utilizado para eliminar fontes de radiação que possam interferir nas comunicações via rádio dos pilotos com a torre de controle. "," A propriedade das ondas emitidas que justifica o procedimento adotado é o fato de ","terem fases opostas.","serem ambas audíveis.","terem intensidades inversas.","serem de mesma amplitude.","terem frequências próximas","E",""
"ciencias-natureza",2013,56," As serpentes que habitam regiões de seca podem ficar em jejum por um longo período de tempo devido à escassez de alimento. Assim, a sobrevivência desses predadores está relacionada ao aproveitamento máximo dos nutrientes obtidos com a presa capturada. De acordo com essa situação, essas serpentes apresentam alterações morfológicas e fisiológicas, como o aumento das vilosidades intestinais e a intensificação da irrigação sanguínea na porção interna dessas estruturas. "," A função do aumento das vilosidades intestinais para essas serpentes é maximizar o(a) ","comprimento do trato gastrointestinal para caber mais alimento.","área de contato com o conteúdo intestinal para absorção dos nutrientes.","liberação de calor via irrigação sanguínea para controle térmico do sistema digestório.","secreção de enzimas digestivas para aumentar a degradação proteica no estômago.","processo de digestão para diminuir o tempo de permanência do alimento no intestino.","B",""
"ciencias-natureza",2013,57,"O uso de embalagens plásticas descartáveis vem crescendo em todo o mundo, juntamente com o problema ambiental gerado por seu descarte inapropriado. O politereftalato de etileno (PET), cuja estrutura é mostrada, tem sido muito utilizado na indústria de refrigerantes e pode ser reciclado e reutilizado. Uma das opções possíveis envolve a produção de matérias-primas, como o etilenoglicol (1,2-etanodiol), a partir de objetos compostos de PET pós-consumo. "," Com base nas informações do texto, uma alternativa para a obtenção de etilenoglicol a partir do PET é a ","solubilização dos objetos.","combustão dos objetos.","trituração dos objetos.","hidrólise dos objetos.","fusão dos objetos.","D","enem-data/enem-2013/57-images/context_img_0.png"
"ciencias-natureza",2013,58," Músculos artificiais são dispositivos feitos com plásticos inteligentes que respondem a uma corrente elétrica com um movimento mecânico. A oxidação e redução de um polímero condutor criam cargas positivas e/ou negativas no material, que são compensadas com a inserção ou expulsão de cátions ou ânions. Por exemplo, na figura os filmes escuros são de polipirrol e o filme branco é de um eletrólito polimérico contendo um sal inorgânico. Quando o polipirrol sofre oxidação, há a inserção de ânions para compensar a carga positiva no polímero e o filme se expande. Na outra face do dispositivo o filme de polipirrol sofre redução, expulsando ânions, e o filme se contrai. Pela montagem, em sanduíche, o sistema todo se movimenta de forma harmônica, conforme mostrado na figura. DE PAOLI, M. A. Cadernos Temáticos de Química Nova na Escola, São Paulo, maio 2001 (adaptado). "," A camada central de eletrólito polimérico é importante porque ","absorve a irradiação de partículas carregadas, emitidas pelo aquecimento elétrico dos filmes de polipirrol.","permite a difusão dos íons promovida pela aplicação de diferença de potencial, fechando o circuito elétrico.","mantém um gradiente térmico no material para promover a dilatação/contração térmica de cada filme de polipirrol.","permite a condução de elétrons livres, promovida pela aplicação de diferença de potencial, gerando corrente elétrica.","promove a polarização das moléculas poliméricas, o que resulta no movimento gerado pela aplicação de diferença de potencial.","B","enem-data/enem-2013/58-images/context_img_0.png"
"ciencias-natureza",2013,59," O brasileiro consome em média 500 miligramas de cálcio por dia, quando a quantidade recomendada é o dobro. Uma alimentação balanceada é a melhor decisão para evitar problemas no futuro, como a osteoporose, uma doença que atinge os ossos. Ela se caracteriza pela diminuição substancial de massa óssea, tornando os ossos frágeis e mais suscetíveis a fraturas. Disponível em: www.anvisa.gov.br. Acesso em: 1 ago. 2012 (adaptado). "," Considerando-se o valor de 6 × 1023 mol–1 para a constante de Avogadro e a massa molar do cálcio igual a 40 g/mol, qual a quantidade mínima diária de átomos de cálcio a ser ingerida para que uma pessoa supra suas necessidades? ","7,5 × 1021","1,5 × 1022","7,5 × 1023","1,5 × 1025","4,8 × 1025","B",""
"ciencias-natureza",2013,60,"Em um experimento foram utilizadas duas garrafas PET, uma pintada de branco e a outra de preto, acopladas cada uma a um termômetro. No ponto médio da distância entre as garrafas, foi mantida acesa, durante alguns minutos, uma lâmpada incandescente. Em seguida a lâmpada  foi desligada. Durante o experimento, foram monitoradas as temperaturas das garrafas: a) enquanto a lâmpada permaneceu acesa e b) após a lâmpada ser desligada e atingirem equilíbrio térmico com o ambiente. "," A taxa de variação da temperatura da garrafa preta, em comparação à da branca, durante todo experimento, foi ","igual no aquecimento e igual no resfriamento.","maior no aquecimento e igual no resfriamento.","menor no aquecimento e igual no resfriamento.","maior no aquecimento e menor no resfriamento.","maior no aquecimento e maior no resfriamento.","E","enem-data/enem-2013/60-images/context_img_0.png"
"ciencias-natureza",2013,61," Glicose marcada com nuclídeos de carbono-11 é utilizada na medicina para se obter imagens tridimensionais do cérebro, por meio de tomografia de emissão de pósitrons. A desintegração do carbono-11 gera um pósitron, com tempo de meia-vida de 20,4 min, de acordo com a equação da reação nuclear A partir da injeção de glicose marcada com esse nuclídeo, o tempo de aquisição de uma imagem de tomografia é de cinco meias-vidas. "," Considerando que o medicamento contém 1,00 g do carbono-11, a massa, em miligramas, do nuclídeo restante, após a aquisição da imagem, é mais próxima de ","0,200.","0,969.","9,80.","31,3.","200.","D","enem-data/enem-2013/61-images/context_img_0.png"
"ciencias-natureza",2013,62," Milhares de pessoas estavam morrendo de varíola humana no final do século XVIII. Em 1796, o médico Edward Jenner (1749-1823) inoculou em um menino de 8 anos o pus extraído de feridas de vacas contaminadas com o vírus da varíola bovina, que causa uma doença branda em humanos. O garoto contraiu uma infecção benigna e, dez dias depois, estava recuperado. Meses depois, Jenner inoculou, no mesmo menino, o pus varioloso humano, que causava muitas mortes. O menino não adoeceu. Disponível em: www.bbc.co.uk. Acesso em: 5 dez. 2012 (adaptado). "," Considerando o resultado do experimento, qual a contribuição desse médico para a saúde humana? ","A prevenção de diversas doenças infectocontagiosas em todo o mundo.","A compreensão de que vírus podem se multiplicar em matéria orgânica.","O tratamento para muitas enfermidades que acometem milhões de pessoas.","O estabelecimento da ética na utilização de crianças em modelos experimentais.","A explicação de que alguns vírus de animais podem ser transmitidos para os humanos.","A",""
"ciencias-natureza",2013,63," Plantas terrestres que ainda estão em fase de crescimento fixam grandes quantidades de CO2, utilizando-o para formar novas moléculas orgânicas, e liberam grande quantidade de O2. No entanto, em florestas maduras, cujas árvores já atingiram o equilíbrio, o consumo de O2 pela respiração tende a igualar sua produção pela fotossíntese. A morte natural de árvores nessas florestas afeta temporariamente a concentração de O2 e de CO2 próximo à superfície do solo onde elas caíram. "," A concentração de O2 próximo ao solo, no local da queda, será ","menor, pois haverá consumo de O2 durante a decomposição dessas árvores.","maior, pois haverá economia de O2 pela ausência das árvores mortas.","maior, pois haverá liberação de O2 durante a fotossíntese das árvores jovens.","igual, pois haverá consumo e produção de O2 pelas árvores maduras restantes.","menor, pois haverá redução de O2 pela falta da fotossíntese realizada pelas árvores mortas.","A",""
"ciencias-natureza",2013,64," As fêmeas de algumas espécies de aranhas, escorpiões e de outros invertebrados predam os machos após a cópula e inseminação. Como exemplo, fêmeas canibais do inseto conhecido como louva-a-deus, Tenodera aridofolia, possuem até 63% da sua dieta composta por machos parceiros. Para as fêmeas, o canibalismo sexual pode assegurar a obtenção de nutrientes importantes na reprodução. Com esse incremento na dieta, elas geralmente produzem maior quantidade de ovos. BORGES, J. C. Jogo mortal. Disponível em: http://cienciahoje.uol.com.br. Acesso em: 1 mar. 2012 (adaptado). "," Apesar de ser um comportamento aparentemente desvantajoso para os machos, o canibalismo sexual evoluiu nesses táxons animais porque ","promove a maior ocupação de diferentes nichos ecológicos pela espécie.","favorece o sucesso reprodutivo individual de ambos os parentais.","impossibilita a transmissão de genes do macho para a prole.","impede a sobrevivência e reprodução futura do macho.","reduz a variabilidade genética da população.","B",""
"ciencias-natureza",2013,65," Para oferecer acessibilidade aos portadores de dificuldades de locomoção, é utilizado, em ônibus e automóveis, o elevador hidráulico. Nesse dispositivo é usada uma bomba elétrica, para forçar um fluido a passar de uma tubulação estreita para outra mais larga, e dessa forma acionar um pistão que movimenta a plataforma. Considere um elevador hidráulico cuja área da cabeça do pistão seja cinco vezes maior do que a área da tubulação que sai da bomba. Desprezando o atrito e considerando uma aceleração gravitacional de 10 m/s², deseja-se elevar uma pessoa de 65 kg em uma cadeira de rodas de 15 kg sobre a plataforma de 20 kg "," Qual deve ser a força exercida pelo motor da bomba sobre o fluido, para que o cadeirante seja elevado com velocidade constante? ","20 N.","100 N.","200 N.","1 000 N.","5 000 N.","C",""
